|time| inM  |  instruction   |reset| outM  |writeM |addre| pc  |
|0+  |     0|0011000000111001|  0  |      0|   1   |    0|    0|
|1   |     0|0011000000111001|  0  |      0|   1   |    0|    0|
|1+  |     0|1110110000010000|  0  |      0|   0   |    0|    0|
|2   |     0|1110110000010000|  0  |      0|   0   |    0|    1|
|2+  |     0|0101101110100000|  0  |      0|   0   |    0|    1|
|3   |     0|0101101110100000|  0  |      0|   0   |    0|    2|
|3+  |     0|1110000111010000|  0  |      0|   0   |    0|    2|
|4   |     0|1110000111010000|  0  |      0|   0   |    0|    3|
|4+  |     0|0000001111101000|  0  |      0|   1   |    0|    3|
|5   |     0|0000001111101000|  0  |      0|   1   |    0|    4|
|5+  |     0|1110001100001000|  0  |      0|   1   |    0|    4|
|6   |     0|1110001100001000|  0  |      0|   1   |    0|    5|
|6+  |     0|0000001111101001|  0  |      0|   1   |    0|    5|
|7   |     0|0000001111101001|  0  |      0|   1   |    0|    0|
|7+  |     0|1110001110011000|  0  |      0|   1   |    0|    0|
|8   |     0|1110001110011000|  0  |      0|   1   |    0|    1|
